121 226 -11 238 166 335 -31 364 188 449 -24 454 114 454 19 457 114 628 -3 629 129 791 31 793 
121 226 -15 237 166 335 -25 364 187 449 -16 451 117 454 22 457 119 628 18 630 136 790 42 793 
121 226 -16 237 165 334 -22 364 186 448 -10 450 120 453 24 457 127 628 31 632 142 790 50 793 
121 225 -16 237 165 334 -22 365 186 448 -11 453 122 453 25 457 126 630 28 636 142 792 49 796 
121 225 -17 237 165 332 -19 363 186 447 -7 448 122 452 26 455 125 627 24 633 142 788 50 793 
121 224 -17 236 165 332 -20 364 186 447 -8 450 123 451 28 456 128 633 31 639 143 794 51 797 
121 223 -17 236 165 329 -20 363 186 445 -9 449 123 451 28 458 125 629 30 635 141 790 49 793 
122 223 -18 235 165 329 -23 362 186 445 -10 447 123 454 27 460 118 632 28 637 130 794 40 793 
121 222 -18 234 165 326 -25 360 186 444 -11 445 122 454 27 460 115 625 16 628 128 785 37 786 
121 222 -18 233 165 324 -21 358 186 441 -11 443 122 453 27 455 114 621 6 624 128 782 37 781 
121 221 -15 231 164 320 -21 352 186 439 -10 432 121 450 26 450 112 612 4 613 127 773 37 774 
121 221 -15 230 164 320 -19 347 185 439 -5 423 118 445 25 440 103 590 -11 587 125 756 36 759 
121 221 -15 229 164 322 -20 348 185 439 -4 426 118 446 24 440 104 595 -8 595 120 759 27 763 
122 221 -12 226 164 323 -19 344 185 441 -2 414 118 445 24 439 105 597 -7 596 121 761 28 763 
124 221 -12 227 165 325 -19 352 185 444 -2 433 119 447 24 448 109 615 2 615 122 776 29 777 
124 216 -12 224 165 322 -16 342 189 428 4 427 114 438 24 440 111 605 2 604 126 758 35 766 
124 214 -12 223 165 317 -16 340 189 414 3 426 115 438 25 441 113 606 15 606 126 759 42 760 
125 214 -12 223 164 318 -22 343 186 416 2 432 118 441 25 450 118 613 19 616 129 759 42 761 
125 214 -13 224 165 317 -23 344 186 417 0 433 118 441 25 452 118 616 19 618 128 759 41 764 
125 213 -15 224 165 314 -25 344 186 412 0 428 118 441 24 452 118 617 18 619 128 762 41 765 
123 214 -15 224 165 314 -27 345 186 412 1 431 118 443 22 454 118 619 20 622 127 766 40 768 
121 215 -17 224 164 315 -27 344 186 414 3 431 117 443 22 452 118 619 16 622 127 767 39 768 
120 216 -18 224 163 315 -31 344 186 414 -1 431 117 444 22 452 117 619 15 622 125 767 37 768 
118 216 -20 223 161 315 -31 342 186 412 -1 428 115 444 20 452 113 617 13 621 121 766 33 767 
115 215 -20 223 159 313 -31 337 186 412 1 423 114 443 20 451 111 616 12 618 117 766 31 765 
113 215 -22 222 157 314 -34 338 185 413 0 422 110 442 20 449 109 614 10 616 114 765 28 764 
109 215 -22 222 154 314 -34 336 185 413 -1 420 106 442 19 449 103 611 3 612 109 763 24 761 
106 216 -26 222 151 315 -34 336 183 413 -1 414 106 443 18 450 101 612 1 612 103 764 17 761 
103 216 -29 222 150 315 -33 334 182 413 -1 415 107 441 18 447 101 608 2 609 106 759 23 759 
104 216 -29 222 150 314 -31 334 182 414 1 415 107 442 18 448 102 610 3 611 107 761 24 760 
105 210 -26 215 149 314 -34 335 182 407 1 416 109 440 18 448 107 610 4 612 112 761 25 760 
132 208 -10 215 179 313 -8 335 207 408 2 417 133 439 36 445 143 608 16 610 151 759 57 760 
157 204 7 210 203 312 -13 324 229 409 -1 405 153 431 48 432 152 604 30 605 156 759 60 761 
165 202 15 205 213 311 -14 321 237 409 -5 402 152 422 49 418 151 590 24 586 164 748 59 752 
166 199 17 204 213 309 -11 322 236 409 -5 397 158 419 55 415 160 577 20 569 175 732 61 736 
165 198 17 205 213 309 -1 331 233 409 19 410 164 421 67 424 167 587 52 582 174 734 77 740 
160 197 13 205 208 308 7 331 232 407 35 413 160 423 62 425 161 587 51 583 167 737 73 744 
159 197 11 206 204 307 8 331 251 395 45 412 155 424 62 426 157 590 44 584 159 742 67 744 
157 198 10 209 196 312 15 332 244 417 45 407 151 421 61 423 155 579 18 579 158 726 64 735 
151 198 8 209 184 311 11 325 215 419 39 393 140 413 51 410 151 562 -6 556 146 704 45 714 
140 198 4 209 173 307 9 325 199 419 42 396 131 408 40 412 144 566 -2 563 142 710 45 717 
131 199 4 209 163 299 7 319 135 350 56 352 119 404 32 408 138 516 -1 536 133 679 41 700 
113 200 1 210 148 268 -8 302 139 225 54 248 120 417 30 430 129 555 8 572 128 704 37 706 
113 198 -2 210 144 242 -9 296 144 209 53 241 121 420 29 433 123 560 13 578 123 706 34 714 
110 197 -3 210 137 242 -10 296 148 200 68 242 119 419 27 431 122 562 16 578 122 711 35 718 
109 197 -3 211 140 249 -10 296 150 209 62 251 120 419 28 430 121 568 18 582 120 717 34 719 
106 197 -3 211 138 257 -10 298 145 204 59 249 119 419 28 429 119 570 18 582 120 717 34 721 
108 198 -4 208 138 259 -12 291 143 206 40 238 119 418 28 427 119 571 18 581 119 718 34 723 
109 198 -4 209 136 261 -13 297 143 213 24 277 120 418 29 426 120 573 20 583 120 720 35 724 
110 198 -3 209 136 261 -12 298 143 210 27 278 120 418 29 426 119 574 20 583 119 720 35 725 
110 199 -3 211 134 254 -13 298 144 204 39 263 123 421 29 427 119 581 13 588 118 727 32 733 
111 198 -3 211 141 240 -12 299 148 202 39 270 123 426 29 434 120 588 13 594 118 737 31 737 
119 197 -14 211 177 245 -24 309 251 210 8 355 122 426 29 432 119 587 -4 593 118 736 26 737 
119 199 -15 211 193 262 -33 323 298 254 -21 390 122 434 28 439 119 596 -2 604 119 748 27 748 
119 202 -16 212 205 267 -42 328 325 264 -24 407 121 439 25 447 119 613 -1 619 118 769 24 767 
118 203 -15 212 204 268 -37 325 327 267 -13 384 118 440 24 446 118 607 1 613 118 762 25 761 
118 205 -16 212 210 269 -37 325 331 269 -11 386 118 441 23 448 117 609 1 615 118 766 25 764 
118 205 -16 213 212 269 -36 326 335 271 -19 397 119 443 24 449 118 615 5 619 119 771 26 768 
118 206 -16 214 213 269 -37 333 335 271 -21 417 119 446 23 454 118 624 5 628 119 781 26 778 
119 206 -16 214 215 269 -36 331 339 272 -16 401 119 446 23 453 118 621 8 626 119 779 27 775 
119 206 -16 214 217 268 -36 330 345 274 -18 399 117 448 21 453 117 621 7 626 118 780 26 777 
119 206 -19 213 214 270 -36 332 339 278 -16 402 111 449 16 454 108 623 1 626 106 782 11 777 
119 213 -24 214 219 288 -51 345 345 311 -32 430 105 454 11 461 100 640 -8 639 94 803 -6 791 
118 219 -33 218 217 307 -71 354 340 349 -57 454 97 460 6 469 98 649 -10 652 95 818 -7 808 
118 231 -44 232 210 332 -70 360 333 389 -53 464 88 471 -1 475 87 678 -21 679 80 853 -21 845 
121 279 -47 283 209 389 -65 412 330 467 -48 506 92 535 -17 535 91 735 -16 737 85 914 -14 909 
128 337 -44 346 214 452 -62 493 307 513 -55 615 105 598 -11 605 115 801 -1 811 122 987 13 988 
127 378 -40 388 208 472 -66 523 260 573 -68 612 114 631 -9 640 128 836 14 847 139 1025 31 1027 
121 379 -39 390 192 478 -64 518 217 574 -61 614 113 623 -6 632 125 828 19 837 139 1018 38 1023 
119 386 -38 402 179 482 -62 528 185 598 -58 628 112 629 -6 636 124 833 17 840 137 1022 36 1025 
117 397 -37 407 164 497 -62 535 175 617 -59 630 109 634 0 659 121 839 16 844 134 1028 34 1028 
113 396 -37 409 161 489 -61 536 181 605 -58 629 109 625 0 637 120 830 16 836 134 1018 37 1018 
112 399 -37 412 159 495 -61 535 170 609 -56 627 108 628 -1 637 119 830 15 836 133 1016 35 1017 
